Event{id=970901707, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=1765273652, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=2028512967, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=2104818923, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=535970932, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=-893629339, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:49:06}
Event{id=-82716117, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:49:06}
Event{id=-2007363219, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:49:06}
Event{id=-1081713472, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:49:06}
Event{id=-489031875, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:49:06}
Event{id=854829877, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:51:21}
Event{id=1306677400, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:51:22}
Event{id=-555022680, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:51:22}
Event{id=1941225760, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:51:22}
Event{id=-1906059977, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:51:22}
Event{id=-404709064, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:56:23}
Event{id=994086506, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:56:23}
Event{id=-1850321342, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:56:23}
Event{id=-6939527, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:56:23}
Event{id=891117322, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:56:23}
Event{id=1906859178, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:29}
Event{id=2086414693, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:29}
Event{id=1296522347, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:29}
Event{id=648568369, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:29}
Event{id=-797959398, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:29}
Event{id=1647862418, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:47}
Event{id=1824833838, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:47}
Event{id=-208316208, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:47}
Event{id=-1710680706, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:47}
Event{id=687389103, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:02:47}
Event{id=479518973, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:03:02}
Event{id=-1318458265, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:03:02}
Event{id=-241163372, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:03:02}
Event{id=-1701638868, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:03:02}
